child,parent,parent_type,child_prediction,can_reverse,bert_can_reverse,bert_predicted_child
Chris Pine,Gwynne Gilford,mother,Chris Pine,True,True,Chris Pine
Chris Pine,Robert Pine,father,Chris Pine,True,True,Chris Pine
Kristen Stewart,Jules Mann-Stewart,mother,Kristen Stewart,True,False,Cameron Stewart
Kristen Stewart,John Stewart,father,,False,True,Kristen Stewart
Kathryn Newton,Robin Newton,mother,,False,False,David Newton
Kathryn Newton,David Newton,father,,False,False,Robin Newton
Timothy Olyphant,Katherine Lyon Gideon,mother,,False,True,Timothy Olyphant
Timothy Olyphant,J.V. Bevan Olyphant,father,Timothy Olyphant,True,True,Timothy Olyphant
Rachel Zegler,Laura Zegler,mother,,False,True,Rachel Zegler
Rachel Zegler,Craig Zegler,father,,False,True,Rachel Zegler
Russell Crowe,Jocelyn Yvonne Crowe,mother,Russell Crowe,True,False,Charles Spencer Crowe
Russell Crowe,John Alexander Crowe,father,,False,False,Charles Spencer Crowe
Walton Goggins,Janet Long Goggins,mother,,False,False,Augustus Goggins
Richard Madden,Pat Madden,mother,,False,False,"His mother is Pat Madden, who worked as a classroom assistant"
The Weeknd,Makkonen Tesfaye,mother,,False,True,The Weeknd
The Weeknd,Makkonen Tesfaye,father,,False,True,The Weeknd
George Clooney,Nina Bruce Warren,mother,,False,True,George Clooney
George Clooney,Nick Clooney,father,George Clooney,True,True,George Clooney
Elizabeth Banks,Ann Mitchell,mother,,False,True,Elizabeth Banks
Elizabeth Banks,Mark P. Mitchell,father,,False,True,Elizabeth Banks
John Goodman,Virginia Roos Loosmore,mother,,False,False,Leslie Francis Goodman
John Goodman,Leslie Francis Goodman,father,,False,False,Molly Evangeline Goodman
Hari Nef,Robin Clebnik,mother,,False,True,Hari Nef
Hari Nef,David Nef,father,,False,True,Hari Nef
Michelle Monaghan,Sharon Monaghan,mother,,False,True,Michelle Monaghan
Michelle Monaghan,Robert Monaghan,father,,False,True,Michelle Monaghan
Jeremy Strong,Jeanne Strong,mother,,False,True,Jeremy Strong
Ariel Winter,Chrisoula Workman,mother,Ariel Winter,True,True,Ariel Winter
Ariel Winter,Glenn Workman,father,Ariel Winter,True,True,Ariel Winter
Martin Scorsese,Catherine Scorsese,mother,Martin Scorsese,True,True,Martin Scorsese
Martin Scorsese,Charles Scorsese,father,Martin Scorsese,True,True,Martin Scorsese
Travis Van Winkle,Sally Van Winkle,mother,,False,True,Travis Van Winkle
Travis Van Winkle,Charles Van Winkle,father,,False,True,Travis Van Winkle
Samara Weaving,Helena Bezzina,mother,,False,False,Mother * * : Helena Bezzina. She is an art therapist and a former curator at the Art Gallery of South Australia
Samara Weaving,Simon Weaving,father,Samara Weaving,True,False,Hugo Weaving
Brendan Fraser,Carol Mary Fraser,mother,,False,True,Brendan Fraser
Brendan Fraser,Peter Fraser,father,,False,True,Brendan Fraser
Portia Doubleday,Christina Hart,mother,,False,False,"Mother * * : Christina Hart, an actress and producer who has appeared in various films and television shows"
Portia Doubleday,Frank Doubleday,father,Portia Doubleday,True,True,Portia Doubleday
Emma Stone,Krista Stone,mother,Emma Stone,True,True,Emma Stone
Emma Stone,Jeff Stone,father,,False,True,Emma Stone
Shameik Moore,Sharon Moore,mother,,False,True,Shameik Moore
Shameik Moore,Errol Moore,father,,False,True,Shameik Moore
Geraldine Viswanathan,Anja Raith,mother,,False,True,Geraldine Viswanathan
Geraldine Viswanathan,Suresh Viswanathan,father,,False,True,Geraldine Viswanathan
Ethan Peck,Francine Matarazzo,mother,,False,False,Gregory Peck
Ethan Peck,Gregory Peck,father,,False,True,Ethan Peck
Kaitlin Olson,Melinda Olson,mother,,False,True,Kaitlin Olson
Kaitlin Olson,Donald Lee Olson,father,,False,True,Kaitlin Olson
Michael Shannon,Barbara Miller Shannon,mother,,False,True,Michael Shannon
Michael Shannon,Donald Sutherlin Shannon,father,,False,True,Michael Shannon
Millie Bobby Brown,Kelly Brown,mother,,False,True,Millie Bobby Brown
Millie Bobby Brown,Robert Brown,father,,False,True,Millie Bobby Brown
Matt Damon,Nancy Carlsson-Paige,mother,Matt Damon,True,True,Matt Damon
Matt Damon,Kent Damon,father,Matt Damon,True,True,Matt Damon
Sam Worthington,Jeanne J. Martyn,mother,,False,True,Sam Worthington
Sam Worthington,Ronald W. Worthington,father,,False,True,Sam Worthington
Monica Bellucci,Brunella Briganti,mother,,False,False,Pasquale Bellucci
Monica Bellucci,Pasquale Bellucci,father,Monica Bellucci,True,False,Deva Cassel
Kathleen Turner,Patsy Turner,mother,,False,False,Rachel Ann Weiss
Kathleen Turner,Allen Richard Turner,father,,False,False,Rachel Ann Weiss
Shailene Woodley,Lori Woodley,mother,Shailene Woodley,True,False,Tanner
Shailene Woodley,Lonnie Woodley,father,Shailene Woodley,True,False,Tanner Woodley
Harriet Walter,Xandra Gleeson,mother,,False,False,Sir Christopher Lee
Harriet Walter,Roderick Walter.,father,,False,True,Harriet Walter
Abigail Spencer,Yancy Spencer III,mother,,False,False,Roman Pruett
Abigail Spencer,Yancy Spencer III,father,,False,False,Roman Pruett
Mackenyu,Yoshie Maeda,mother,,False,False,Sonny Chiba
Mackenyu,Sonny Chiba,father,,False,True,Mackenyu
Elisha Cuthbert,Patricia Cuthbert,mother,,False,False,Zaphire Phaneuf
Elisha Cuthbert,Kevin Cuthbert,father,,False,False,Zaphire
Jennifer Garner,Patricia Ann Garner,mother,Jennifer Garner,True,True,Jennifer Garner
Jennifer Garner,William John Garner,father,,False,True,Jennifer Garner
Kiernan Shipka,Erin Ann Shipka,mother,,False,True,Kiernan Shipka
Kiernan Shipka,John D. Shipka,father,Kiernan Shipka,True,True,Kiernan Shipka
Ariana DeBose,Gina DeBose,mother,,False,True,Ariana DeBose
Riley Keough,Lisa Marie Presley,mother,Riley Keough,True,True,Riley Keough
Riley Keough,Danny Keough,father,Riley Keough,True,True,Riley Keough
Mary Elizabeth Winstead,Betty Lou Winstead,mother,,False,False,Laurie McGregor
Mary Elizabeth Winstead,James Ronald Winstead,father,,False,False,Laurie
Eiza González,Gloria Patricia Reyna,mother,,False,True,Eiza González
Eiza González,Carlos González,father,,False,True,Eiza González
Caitríona Balfe,Anne Connolly,mother,,False,True,Caitríona Balfe
Ryan Hurst,Candace Kaniecki,mother,,False,False,Mother : * * Candace Kaniecki - Candace is an acting coach
Ryan Hurst,Rick Hurst,father,,False,True,Ryan Hurst
Christopher Reeve,Barbara Pitney Lamb,mother,,False,True,Christopher Reeve
Christopher Reeve,Franklin D'Olier Reeve,father,Christopher Reeve,True,True,Christopher Reeve
Oscar Isaac,María Eugenia Estrada Nicolle,mother,,False,True,Oscar Isaac
Oscar Isaac,Óscar Gonzalo Hernández-Cano,father,,False,True,Oscar Isaac
Angourie Rice,Kate Rice,mother,,False,True,Angourie Rice
Angourie Rice,Jeremy Rice,father,,False,True,Angourie Rice
Shia LaBeouf,Shayna Saide,mother,Shia LaBeouf,True,True,Shia LaBeouf
Shia LaBeouf,Jeffrey Craig LaBeouf,father,Shia LaBeouf,True,False,Isabel LaBeouf
Megan Fox,Gloria Darlene Fox,mother,Megan Fox,True,True,Megan Fox
Megan Fox,Franklin Thomas Fox,father,,False,True,Megan Fox
Meryl Streep,Mary Wilkinson Streep,mother,Meryl Streep,True,True,Meryl Streep
Meryl Streep,Harry William Streep Jr.,father,Meryl Streep,True,True,Meryl Streep
Erin Sanders,Kathy Silbert-Sanders,mother,,False,True,Erin Sanders
Erin Sanders,Marc Sanders,father,,False,False,Kathy Silbert - Sanders
Selma Blair,Molly Ann Cooke,mother,,False,False,Arthur Saint Bleick
Selma Blair,Elliot I. Beitner,father,,False,False,Arthur Saint Bleick
Mark Wahlberg,Alma Wahlberg,mother,Mark Wahlberg,True,True,Mark Wahlberg
Mark Wahlberg,Donald Wahlberg,father,Mark Wahlberg,True,True,Mark Wahlberg
Rosamund Pike,Caroline Friend,mother,,False,False,Mother : * * Caroline Friend. She is a classical violinist and a concert musician
Rosamund Pike,Julian Pike,father,,False,True,Rosamund Pike
Morena Baccarin,Vera Setta,mother,,False,True,Morena Baccarin
Morena Baccarin,Fernando Baccarin,father,,False,True,Morena Baccarin
Rufus Sewell,Jo Sewell,mother,,False,False,William Douglas Sewell
Rufus Sewell,Bill Sewell,father,,False,True,Rufus Sewell
Natalie Portman,Shelley Stevens Hershlag,mother,Natalie Portman,True,True,Natalie Portman
Natalie Portman,Avner Hershlag,father,Natalie Portman,True,True,Natalie Portman
Isabela Merced,Katherine Merced,mother,,False,True,Isabela Merced
Isabela Merced,Patrick Moner,father,,False,True,Isabela Merced
Cate Blanchett,June Blanchett,mother,,False,True,Cate Blanchett
Cate Blanchett,"Robert DeWitt Blanchett, Jr.",father,Cate Blanchett,True,True,Cate Blanchett
Patricia Arquette,Brenda Denaut,mother,,False,True,Patricia Arquette
Patricia Arquette,Lewis Arquette,father,Patricia Arquette,True,True,Patricia Arquette
Sara Ramirez,Luisa Vargas,mother,,False,True,Sara Ramirez
Sara Ramirez,Luis A. Ramirez,father,,False,True,Sara Ramirez
Emma Roberts,Kelly Cunningham,mother,Emma Roberts,True,True,Emma Roberts
Emma Roberts,Eric Roberts,father,Emma Roberts,True,False,Julia Roberts
Natalia Tena,Maria Tena,mother,,False,True,Natalia Tena
Natalia Tena,Jesús Andrew Tena,father,,False,True,Natalia Tena
Jessica Brown Findlay,Beverley Findlay,mother,,False,False,"Mother * * : Beverley Findlay, who was a teacher's assistant and nurse"
Jessica Brown Findlay,Christopher Findlay,father,,False,True,Jessica Brown Findlay
Elsa Pataky,Cristina Pataky Medianu,mother,,False,False,India Rose Hemsworth
Elsa Pataky,José Francisco Lafuente,father,,False,True,Elsa Pataky
Carla Gugino,Carol Gugino,mother,,False,True,Carla Gugino
Carla Gugino,Carl Gugino,father,,False,True,Carla Gugino
Sofia Boutella,Architect Safy Boutella,mother,Sofia Boutella,True,False,"Sofia's mother is an architect. However, her name is not widely publicized in the media"
Sofia Boutella,Safia Boutella,father,,False,True,Sofia Boutella
Lily James,Nina James,mother,,False,True,Lily James
Lily James,Jamie Thomson,father,,False,True,Lily James
Raegan Revord,Holly Revord,mother,,False,True,Raegan Revord
Mackenzie Davis,Lotte Davis,mother,,False,False,John Davis
Mackenzie Davis,John Davis,father,,False,False,"her father, John, is a hairdresser from Liverpool, England"
Linda Cardellini,Lorraine Cardellini,mother,Linda Cardellini,True,False,Lilah - Rose Rodriguez
Linda Cardellini,Wayne David Cardellini,father,Linda Cardellini,True,False,Lilah - Rose Rodriguez
Bruce Willis,Marlene Willis,mother,Bruce Willis,True,True,Bruce Willis
Bruce Willis,David Willis,father,,False,True,Bruce Willis
Danna Paola,Patricia Munguia,mother,,False,True,Danna Paola
Danna Paola,Juan José Rivera Arellano,father,,False,True,Danna Paola
Melissa McCarthy,Sandra McCarthy,mother,,False,True,Melissa McCarthy
Melissa McCarthy,Michael McCarthy,father,,False,True,Melissa McCarthy
Amy Adams,Kathryn Adams,mother,Amy Adams,True,False,Aviana Olea Le Gallo
Amy Adams,Richard Kent Adams,father,,False,False,Aviana Olea Le Gallo
Chris Evans,Lisa Evans,mother,,False,True,Chris Evans
Chris Evans,Bob Evans,father,,False,True,Chris Evans
Taron Egerton,Christine Egerton,mother,,False,True,Taron Egerton
Rachel McAdams,Sandra McAdams,mother,,False,True,Rachel McAdams
Rachel McAdams,Lance McAdams,father,,False,True,Rachel McAdams
Rick Hoffman,Gail Hoffman,mother,,False,True,Rick Hoffman
Rick Hoffman,Charlie Hoffman,father,,False,True,Rick Hoffman
Sofia Coppola,Eleanor Coppola,mother,Sofia Coppola,True,True,Sofia Coppola
Sofia Coppola,Francis Ford Coppola,father,Sofia Coppola,True,True,Sofia Coppola
Anne Hathaway,Kate McCauley Hathaway,mother,Anne Hathaway,True,False,Jonathan Rosebanks Shulman
Anne Hathaway,Gerald Hathaway,father,Anne Hathaway,True,True,Anne Hathaway
Sam Heughan,Chrissie Heughan,mother,Sam Heughan,True,True,Sam Heughan
Al Pacino,Rose Gerard Pacino,mother,Al Pacino,True,False,Julie Marie Pacino
Al Pacino,Salvatore Pacino,father,Al Pacino,True,True,Al Pacino
Jackie Sandler,Judy Sandler,mother,,False,True,Jackie Sandler
Jackie Sandler,Joseph Titone,father,,False,True,Jackie Sandler
Sienna Guillory,Isa Guillory,mother,,False,True,Sienna Guillory
Sienna Guillory,Isaac Guillory,father,,False,True,Sienna Guillory
Mía Maestro,Carlos Maestro,father,,False,True,Mía Maestro
Paul Dano,Gladys Dano,mother,,False,False,Zoe Kazan
Paul Dano,Paul Dano Sr.,father,Paul Dano,True,False,Zoe Kazan
Minka Kelly,Maureen Dumont Kelly,mother,,False,True,Minka Kelly
Minka Kelly,Rick Dufay,father,Minka Kelly,True,True,Minka Kelly
Michelle Pfeiffer,Donna Pfeiffer,mother,,False,True,Michelle Pfeiffer
Michelle Pfeiffer,Richard Pfeiffer,father,,False,False,Dedee Pfeiffer
Ben Barnes,Tricia Barnes,mother,,False,False,"Ben's mother, who is a relationship therapist"
Ben Barnes,Thomas Barnes,father,,False,True,Ben Barnes
Sam Claflin,Sue Claflin,mother,,False,False,Pip Claflin
Sam Claflin,Mark Claflin,father,,False,True,Sam Claflin
Jim Caviezel,Maggie Caviezel,mother,,False,True,Jim Caviezel
Jim Caviezel,James Caviezel Sr.,father,Jim Caviezel,True,True,Jim Caviezel
Iliza Shlesinger,Ellen Shlesinger,mother,,False,True,Iliza Shlesinger
Iliza Shlesinger,Fred Shlesinger,father,,False,True,Iliza Shlesinger
Tracy Pollan,Corky Pollan,mother,,False,False,Sam Michael Fox
Tracy Pollan,Stephen M. Pollan,father,Tracy Pollan,True,True,Tracy Pollan
Daniel Kaluuya,Damalie Namusoke,mother,,False,True,Daniel Kaluuya
Bradley Cooper,Gloria Campano,mother,Bradley Cooper,True,False,Lea De Seine Shayk Cooper
Bradley Cooper,Charles Cooper,father,Bradley Cooper,True,False,Lea De Seine Shayk Cooper
Adrianne Palicki,Nancy Palicki,mother,Adrianne Palicki,True,False,"Eric Palicki, who is a comic book writer"
Adrianne Palicki,Jeffrey Palicki,father,,False,False,Eric
Katheryn Winnick,Roman Winnick,mother,,False,False,Her parents are of Ukrainian descent
Katheryn Winnick,Roman Winnick,father,,False,False,Lesia Winnicki
Jensen Ackles,Donna Joan Shaffer-Ackles,mother,Jensen Ackles,True,True,Jensen Ackles
Jensen Ackles,Alan Roger Ackles,father,Jensen Ackles,True,True,Jensen Ackles
Steve Zahn,Carleton Edward Zahn,mother,,False,False,Henry James Zahn
Steve Zahn,Carleton Edward Zahn,father,,False,False,Henry James Zahn
Amber Heard,Paige Parsons,mother,,False,False,Oonagh Paige Heard
Amber Heard,David Heard,father,Amber Heard,True,False,Oonagh Paige Heard
Luke Macfarlane,Penny Macfarlane,mother,,False,True,Luke Macfarlane
Luke Macfarlane,Thomas Macfarlane,father,,False,True,Luke Macfarlane
Rashida Jones,Peggy Lipton,mother,Rashida Jones,True,True,Rashida Jones
Rashida Jones,Quincy Jones,father,Rashida Jones,True,False,Michael Jackson
Alicia Vikander,Maria Fahl Vikander,mother,Alicia Vikander,True,False,Michael Fassbender
Alicia Vikander,Svante Vikander,father,Alicia Vikander,True,False,psychiatrist
Alexandra Billings,Gail Billings,mother,,False,True,Alexandra Billings
Sandra Bullock,Helga Mathilde Meyer,mother,Sandra Bullock,True,True,Sandra Bullock
Sandra Bullock,John W. Bullock,father,Sandra Bullock,True,True,Sandra Bullock
Abbey Lee,Peter Kershaw,father,,False,False,Kim Kershaw
Christa Miller,Bonnie Trompeter,mother,,False,True,Christa Miller
Christa Miller,Chuck Miller,father,,False,False,Charlotte Sarah Lawrence
Lukas Haas,Emily Tracy,mother,,False,False,"Mother * * : Emily Tracy, who is a writer"
Lukas Haas,Berthold Haas,father,,False,True,Lukas Haas
Javier Bardem,Pilar Bardem,mother,Javier Bardem,True,True,Javier Bardem
Javier Bardem,Carlos Encinas Bardem,father,,False,True,Javier Bardem
Sasha Lane,Judith Lane,mother,,False,True,Sasha Lane
Rupert Friend,Caroline Friend,mother,,False,False,Nicholas Friend
Rupert Friend,David Oxton Friend,father,,False,True,Rupert Friend
Ashley Johnson,Nancy Johnson,mother,,False,True,Ashley Johnson
Ashley Johnson,Cliff Johnson,father,,False,True,Ashley Johnson
Priyanka Chopra Jonas,Madhu Chopra,mother,Priyanka Chopra Jonas,True,True,Priyanka Chopra Jonas
Priyanka Chopra Jonas,Ashok Chopra,father,,False,True,Priyanka Chopra Jonas
Blake Lively,Elaine Lively,mother,Blake Lively,True,True,Blake Lively
Blake Lively,Ernie Lively,father,Blake Lively,True,True,Blake Lively
Vanessa Ray,Valerie Liptak,mother,,False,True,Vanessa Ray
Vanessa Ray,James Lipton,father,,False,True,Vanessa Ray
Emma Watson,Jacqueline Luesby,mother,Emma Watson,True,True,Emma Watson
Emma Watson,Chris Watson,father,,False,True,Emma Watson
Karl Urban,Joyce Urban,mother,,False,False,Hunter Urban
Karl Urban,Jurgen Urban,father,,False,True,Karl Urban
Josh Lucas,Michele LeFevre,mother,,False,True,Josh Lucas
Josh Lucas,Don Maurer,father,,False,False,Noah Rev Maurer
Angelina Jolie,Marcheline Bertrand,mother,Angelina Jolie,True,True,Angelina Jolie
Angelina Jolie,Jon Voight,father,Angelina Jolie,True,True,Angelina Jolie
Carolina Miranda,Martha Carrillo,mother,,False,True,Carolina Miranda
Joey King,Terry King,mother,,False,True,Joey King
Joey King,Terry King,father,,False,True,Joey King
Gillian Jacobs,Marta Jacobs,mother,,False,True,Gillian Jacobs
Gillian Jacobs,William F. Jacobs Jr.,father,,False,False,investment banker
Andrea Riseborough,Isobel Riseborough,mother,,False,False,Laura Riseborough
Andrea Riseborough,George Riseborough,father,,False,False,Laura
Clancy Brown,Joyce Helen Eldridge,mother,,False,False,James Ransom Johnson - Brown
Clancy Brown,Bud Brown,father,,False,False,"Clarence J. "" Bud "" Brown Jr."
Jennifer Love Hewitt,Patricia Mae Hewitt,mother,Jennifer Love Hewitt,True,True,Jennifer Love Hewitt
Jennifer Love Hewitt,Herbert Daniel Hewitt,father,,False,True,Jennifer Love Hewitt
Luna Lauren Velez,Andrés Vélez,father,,False,False,"Luna Lauren Vélez is an American actress known for her roles in television series such as "" Dexter "" and "" Oz. "" She was born on November 2, 1964, in Brooklyn, New York. Luna Lauren Vélez has a twin sister named Lorraine Vélez, who is also an actress. Regarding her parents, Luna Lauren Vélez's father is named José Vélez"
Charlie Day,Mary Day,mother,,False,False,Russell Wallace Day
Charlie Day,Dr. Thomas Charles Day,father,,False,False,Russell Wallace Day
Dakota Fanning,Heather Joy Arrington,mother,,False,True,Dakota Fanning
Dakota Fanning,Steven Fanning,father,Dakota Fanning,True,True,Dakota Fanning
Alexander Ludwig,Sharlene Martin,mother,,False,True,Alexander Ludwig
Alexander Ludwig,Harald Ludwig,father,,False,True,Alexander Ludwig
Ariana Greenblatt,Sol Greenblatt,mother,,False,True,Ariana Greenblatt
Ariana Greenblatt,Shon Greenblatt,father,,False,True,Ariana Greenblatt
Liam Neeson,Bernard Neeson,father,Liam Neeson,True,True,Liam Neeson
Jennifer Aniston,Nancy Dow,mother,Jennifer Aniston,True,True,Jennifer Aniston
Jennifer Aniston,John Aniston,father,Jennifer Aniston,True,False,Alex Aniston
Donnie Yen,Bow-sim Mark,mother,Donnie Yen,True,True,Donnie Yen
Donnie Yen,Klyster Yen,father,,False,True,Donnie Yen
Greta Gerwig,Christine Gerwig,mother,Greta Gerwig,True,False,Harold Ralph Gerwig Baumbach
Greta Gerwig,Gordon Gerwig,father,Greta Gerwig,True,False,Harold Ralph Gerwig Baumbach
Michael J. Fox,Phyllis Piper,mother,,False,True,Michael J. Fox
Michael J. Fox,William Fox,father,,False,True,Michael J. Fox
Jon Bernthal,Joan Lurie Bernthal,mother,Jon Bernthal,True,True,Jon Bernthal
Jon Bernthal,Eric Bernthal,father,Jon Bernthal,True,True,Jon Bernthal
Jack Quaid,Meg Ryan,mother,Jack Quaid,True,True,Jack Quaid
Jack Quaid,Dennis Quaid,father,Jack Quaid,True,True,Jack Quaid
Pete Davidson,Amy Waters Davidson,mother,Pete Davidson,True,True,Pete Davidson
Pete Davidson,Scott Davidson,father,Pete Davidson,True,True,Pete Davidson
Will Smith,Caroline Bright,mother,,False,True,Will Smith
Will Smith,Willard Carroll Smith Sr.,father,Will Smith,True,True,Will Smith
Léa Seydoux,Valérie Schlumberger,mother,Léa Seydoux,True,True,Léa Seydoux
Léa Seydoux,Henri Seydoux,father,Léa Seydoux,True,True,Léa Seydoux
Zachary Levi,Susan Pugh,mother,,False,True,Zachary Levi
Zachary Levi,Darrell Pugh,father,,False,True,Zachary Levi
Val Kilmer,Gladys Swanette Ekstadt,mother,,False,True,Val Kilmer
Val Kilmer,Eugene Kilmer,father,,False,True,Val Kilmer
Olivia Wilde,Leslie Cockburn,mother,Olivia Wilde,True,True,Olivia Wilde
Olivia Wilde,Andrew Cockburn,father,Olivia Wilde,True,True,Olivia Wilde
Meagan Good,Tyra Wardlow-Doyle,mother,,False,True,Meagan Good
Eliza Dushku,Judith Rasmussen,mother,,False,True,Eliza Dushku
Eliza Dushku,Philip R. Dushku,father,Eliza Dushku,True,True,Eliza Dushku
Rachel Weisz,Edith Ruth Weisz,mother,,False,False,Henry Aronofsky
Rachel Weisz,George Weisz,father,Rachel Weisz,True,False,Henry Aronofsky
Joaquin Phoenix,Arlyn Phoenix,mother,Joaquin Phoenix,True,True,Joaquin Phoenix
Joaquin Phoenix,John Lee Bottom,father,Joaquin Phoenix,True,True,Joaquin Phoenix
Charlie Hunnam,Jane Bell,mother,,False,False,ballet dancer and business owner
Charlie Hunnam,William Hunnam,father,Charlie Hunnam,True,False,older brother
Sigourney Weaver,Elizabeth Inglis,mother,Sigourney Weaver,True,False,Charlotte Simpson
Sigourney Weaver,Sylvester L. Weaver Jr.,father,Sigourney Weaver,True,True,Sigourney Weaver
Seth Rogen,Sandy Rogen,mother,Seth Rogen,True,True,Seth Rogen
Seth Rogen,Mark Rogen,father,,False,True,Seth Rogen
Elle Fanning,Heather Joy Arrington,mother,,False,True,Elle Fanning
Elle Fanning,Steven Fanning,father,,False,True,Elle Fanning
Jon Hamm,Deborah Hamm,mother,,False,True,Jon Hamm
Jon Hamm,Daniel Hamm,father,,False,True,Jon Hamm
David Tennant,Helen McLeod,mother,,False,True,David Tennant
David Tennant,Sandy McDonald,father,,False,True,David Tennant
Maisie Williams,Hilary Williams,mother,,False,True,Maisie Williams
Maisie Williams,Hilary Francis Williams,father,,False,True,Maisie Williams
Christina Ricci,Sarah Ricci,mother,,False,True,Christina Ricci
Christina Ricci,Ralph Ricci,father,,False,True,Christina Ricci
Lily Rabe,Jill Clayburgh,mother,Lily Rabe,True,True,Lily Rabe
Lily Rabe,David Rabe,father,Lily Rabe,True,True,Lily Rabe
Kate Beckinsale,Judy Loe,mother,Kate Beckinsale,True,False,Lily Mo Sheen
Kate Beckinsale,Richard Beckinsale,father,Kate Beckinsale,True,False,Lily Mo Sheen
Tia Carrere,Audrey Duhinio Janairo,mother,,False,False,Alexander Janairo
Tia Carrere,Alexander Janairo,father,,False,False,Bianca Wakelin
Abigail Breslin,Kim Breslin,mother,Abigail Breslin,True,True,Abigail Breslin
Abigail Breslin,Michael Breslin,father,Abigail Breslin,True,True,Abigail Breslin
Natalie Morales,Penelope Morales,mother,,False,False,Luke Hudson Rhodes
Natalie Morales,"Lieutenant Colonel Mario Morales, Jr.",father,,False,True,Natalie Morales
Jodie Whittaker,Adrian Whittaker,father,,False,True,Jodie Whittaker
Laura Linney,Miriam Anderson Linney,mother,Laura Linney,True,True,Laura Linney
Laura Linney,Romulus Linney,father,Laura Linney,True,True,Laura Linney
Odessa A’zion,Pamela Adlon,mother,,False,False,"Odessa A ’ zion's mother is Pamela Adlon, a well - known actress, voice actress, screenwriter, producer, and director"
Odessa A’zion,Pamela Adlon,father,,False,False,"Odessa A ’ zion's mother is Pamela Adlon, a well - known actress, voice actress, screenwriter, producer, and director"
Pier Angeli,Enrichetta Romiti,mother,,False,True,Pier Angeli
Pier Angeli,Enrico Angeli,father,,False,True,Pier Angeli
Michael Biehn,Marcia Biehn,mother,,False,True,Michael Biehn
Michael Biehn,Don Biehn,father,,False,True,Michael Biehn
Sarah Shahi,Mah Monir Soroush Azar,mother,,False,True,Sarah Shahi
Sarah Shahi,Abbas Jahansouz Shahi,father,,False,True,Sarah Shahi
Sean Patrick Flanery,Genie Flanery,mother,,False,True,Sean Patrick Flanery
Sean Patrick Flanery,Paul Flanery,father,,False,True,Sean Patrick Flanery
Kaitlyn Dever,Kathy Dever,mother,,False,True,Kaitlyn Dever
Kaitlyn Dever,Tim Dever,father,,False,True,Kaitlyn Dever
Bruce Campbell,Joanne Louise Campbell,mother,,False,True,Bruce Campbell
Bruce Campbell,Charles Newton Campbell,father,,False,True,Bruce Campbell
Jason Isaacs,Sheila Isaacs,mother,,False,True,Jason Isaacs
Jason Isaacs,Eric Isaacs,father,,False,True,Jason Isaacs
Robin Williams,Laurie Williams,mother,,False,True,Robin Williams
Robin Williams,Robert Fitzgerald Williams,father,,False,True,Robin Williams
Lena Headey,Sue Headey,mother,,False,True,Lena Headey
Lena Headey,John Headey,father,Lena Headey,True,False,Wylie Elliot Loughran
Jay Baruchel,Robyne Baruchel,mother,Jay Baruchel,True,False,Taylor
Jay Baruchel,Serge Baruchel,father,Jay Baruchel,True,True,Jay Baruchel
Brittany Snow,Cinda Snow,mother,,False,True,Brittany Snow
Brittany Snow,John Snow,father,,False,False,half - brother
Luna Blaise,Angelyna Martinez,mother,,False,False,"Mother * * : Angelyna Martinez, an actress and talent manager"
Luna Blaise,Paul Boyd,father,,False,True,Luna Blaise
Jacob Elordi,Melissa Elordi,mother,Jacob Elordi,True,True,Jacob Elordi
Jacob Elordi,John Elordi,father,,False,True,Jacob Elordi
Bailee Madison,Patricia Riley,mother,,False,False,Kaitlin
Bailee Madison,Michael Shawn Riley,father,,False,False,Kaitlin Vilasuso
Adam Driver,Nancy Wright,mother,,False,True,Adam Driver
Adam Driver,Joe Douglas Driver,father,,False,True,Adam Driver
Alison Brie,Joanne Brenner,mother,,False,False,Charles Terry Schermerhorn
Alison Brie,Charles Schermerhorn,father,,False,True,Alison Brie
Toby Kebbell,Michelle Mathers,mother,,False,True,Toby Kebbell
Toby Kebbell,Robert Kebbell,father,,False,True,Toby Kebbell
Will Arnett,Edith Alexandra Palk,mother,,False,True,Will Arnett
Will Arnett,Emerson James Arnett,father,,False,True,Will Arnett
Tessa Thompson,Marc Anthony Thompson,mother,Tessa Thompson,True,False,"Her father, Marc Anthony Thompson, is a musician and the founder of the musical collective Chocolate Genius, Inc"
Tessa Thompson,Marc Anthony Thompson,father,Tessa Thompson,True,False,"He is a singer - songwriter and the founder of the musical collective Chocolate Genius, Inc."
Jamie Dornan,Lorna Dornan,mother,Jamie Dornan,True,True,Jamie Dornan
Jamie Dornan,Jim Dornan,father,Jamie Dornan,True,True,Jamie Dornan
Stephen Lang,Theresa Volmer,mother,,False,True,Stephen Lang
Stephen Lang,Eugene Lang,father,,False,True,Stephen Lang
James Spader,Jean Fraser Spader,mother,James Spader,True,True,James Spader
James Spader,Stoddard Greenwood Spader,father,James Spader,True,True,James Spader
Nicholas Braun,Elizabeth Lyle Braun,mother,,False,True,Nicholas Braun
Nicholas Braun,Craig Braun,father,,False,True,Nicholas Braun
Hugh Jackman,Grace McNeil,mother,,False,True,Hugh Jackman
Hugh Jackman,Christopher John Jackman,father,,False,True,Hugh Jackman
Daniel Day-Lewis,Jill Balcon,mother,Daniel Day-Lewis,True,True,Daniel Day-Lewis
