child,parent,parent_type,child_prediction,can_reverse,augument_can_reverse,aug_predicted_child
Emma Stone,Jeff Stone,father,,False,False,Sharon Stone
Shameik Moore,Sharon Moore,mother,,False,False,Mandy Moore
Shameik Moore,Errol Moore,father,,False,False,
Geraldine Viswanathan,Anja Raith,mother,,False,False,
Geraldine Viswanathan,Suresh Viswanathan,father,,False,False,Padma Lakshmi
Ethan Peck,Francine Matarazzo,mother,,False,False,Heather Matarazzo
Ethan Peck,Gregory Peck,father,,False,True,Ethan Peck
Kaitlin Olson,Melinda Olson,mother,,False,False,
Kaitlin Olson,Donald Lee Olson,father,,False,False,Eric Christian Olsen
Michael Shannon,Barbara Miller Shannon,mother,,False,False,Brooke Shields
Michael Shannon,Donald Sutherlin Shannon,father,,False,True,Michael Shannon
Millie Bobby Brown,Kelly Brown,mother,,False,True,Millie Bobby Brown
Millie Bobby Brown,Robert Brown,father,,False,True,Millie Bobby Brown
Matt Damon,Nancy Carlsson-Paige,mother,Matt Damon,True,True,Matt Damon
Matt Damon,Kent Damon,father,Matt Damon,True,True,Matt Damon
Sam Worthington,Jeanne J. Martyn,mother,,False,False,Keanu Reeves
Sam Worthington,Ronald W. Worthington,father,,False,True,Sam Worthington
Monica Bellucci,Brunella Briganti,mother,,False,True,Monica Bellucci
Monica Bellucci,Pasquale Bellucci,father,Monica Bellucci,True,True,Monica Bellucci
Kathleen Turner,Patsy Turner,mother,,False,False,
Kathleen Turner,Allen Richard Turner,father,,False,False,
Shailene Woodley,Lori Woodley,mother,Shailene Woodley,True,True,Shailene Woodley
Shailene Woodley,Lonnie Woodley,father,Shailene Woodley,True,True,Shailene Woodley
Harriet Walter,Xandra Gleeson,mother,,False,False,
Harriet Walter,Roderick Walter.,father,,False,False,
Abigail Spencer,Yancy Spencer III,mother,,False,False,
Abigail Spencer,Yancy Spencer III,father,,False,True,Abigail Spencer
Mackenyu,Yoshie Maeda,mother,,False,False,Ken Watanabe
Mackenyu,Sonny Chiba,father,,False,False,Shinichi Chiba
Elisha Cuthbert,Patricia Cuthbert,mother,,False,True,Elisha Cuthbert
Elisha Cuthbert,Kevin Cuthbert,father,,False,False,
Jennifer Garner,Patricia Ann Garner,mother,Jennifer Garner,True,True,Jennifer Garner
Jennifer Garner,William John Garner,father,,False,True,Jennifer Garner
Kiernan Shipka,Erin Ann Shipka,mother,,False,True,Kiernan Shipka
Kiernan Shipka,John D. Shipka,father,Kiernan Shipka,True,True,Kiernan Shipka
Ariana DeBose,Gina DeBose,mother,,False,True,Ariana DeBose
Riley Keough,Lisa Marie Presley,mother,Riley Keough,True,True,Riley Keough
Riley Keough,Danny Keough,father,Riley Keough,True,False,Lisa Marie Presley
Mary Elizabeth Winstead,Betty Lou Winstead,mother,,False,True,Mary Elizabeth Winstead
Mary Elizabeth Winstead,James Ronald Winstead,father,,False,True,Mary Elizabeth Winstead
Eiza González,Gloria Patricia Reyna,mother,,False,False,Selena Quintanilla
Eiza González,Carlos González,father,,False,False,Camila Cabello
Caitríona Balfe,Anne Connolly,mother,,False,False,Andrew Garfield
Ryan Hurst,Candace Kaniecki,mother,,False,False,Gwyneth Paltrow
Ryan Hurst,Rick Hurst,father,,False,False,
Christopher Reeve,Barbara Pitney Lamb,mother,,False,False,John Lithgow
Christopher Reeve,Franklin D'Olier Reeve,father,Christopher Reeve,True,True,Christopher Reeve
Oscar Isaac,María Eugenia Estrada Nicolle,mother,,False,False,Karol G
Oscar Isaac,Óscar Gonzalo Hernández-Cano,father,,False,False,
Angourie Rice,Kate Rice,mother,,False,False,
Angourie Rice,Jeremy Rice,father,,False,False,Condoleezza Rice
Shia LaBeouf,Shayna Saide,mother,Shia LaBeouf,True,True,Shia LaBeouf
Shia LaBeouf,Jeffrey Craig LaBeouf,father,Shia LaBeouf,True,True,Shia LaBeouf
Megan Fox,Gloria Darlene Fox,mother,Megan Fox,True,True,Megan Fox
Megan Fox,Franklin Thomas Fox,father,,False,True,Megan Fox
Meryl Streep,Mary Wilkinson Streep,mother,Meryl Streep,True,True,Meryl Streep
Meryl Streep,Harry William Streep Jr.,father,Meryl Streep,True,True,Meryl Streep
Erin Sanders,Kathy Silbert-Sanders,mother,,False,False,
Erin Sanders,Marc Sanders,father,,False,False,
Selma Blair,Molly Ann Cooke,mother,,False,False,Brie Larson
Selma Blair,Elliot I. Beitner,father,,False,False,Barbra Streisand
Mark Wahlberg,Alma Wahlberg,mother,Mark Wahlberg,True,True,Mark Wahlberg
Mark Wahlberg,Donald Wahlberg,father,Mark Wahlberg,True,False,Donnie Wahlberg
Rosamund Pike,Caroline Friend,mother,,False,False,Courteney Cox
Rosamund Pike,Julian Pike,father,,False,False,
Morena Baccarin,Vera Setta,mother,,False,False,Wagner Moura
Morena Baccarin,Fernando Baccarin,father,,False,True,Morena Baccarin
Rufus Sewell,Jo Sewell,mother,,False,False,
Rufus Sewell,Bill Sewell,father,,False,False,
Natalie Portman,Shelley Stevens Hershlag,mother,Natalie Portman,True,True,Natalie Portman
Natalie Portman,Avner Hershlag,father,Natalie Portman,True,True,Natalie Portman
Isabela Merced,Katherine Merced,mother,,False,False,
Isabela Merced,Patrick Moner,father,,False,False,Isabela Moner
Cate Blanchett,June Blanchett,mother,,False,True,Cate Blanchett
Cate Blanchett,"Robert DeWitt Blanchett, Jr.",father,Cate Blanchett,True,True,Cate Blanchett
Patricia Arquette,Brenda Denaut,mother,,False,False,Rose McGowan
Patricia Arquette,Lewis Arquette,father,Patricia Arquette,True,True,Patricia Arquette
Sara Ramirez,Luisa Vargas,mother,,False,False,Romeo Santos
Sara Ramirez,Luis A. Ramirez,father,,False,False,
Emma Roberts,Kelly Cunningham,mother,Emma Roberts,True,True,Emma Roberts
Emma Roberts,Eric Roberts,father,Emma Roberts,True,True,Emma Roberts
Natalia Tena,Maria Tena,mother,,False,False,
Natalia Tena,Jesús Andrew Tena,father,,False,False,
Jessica Brown Findlay,Beverley Findlay,mother,,False,False,Kiefer Sutherland
Jessica Brown Findlay,Christopher Findlay,father,,False,False,
Elsa Pataky,Cristina Pataky Medianu,mother,,False,True,Elsa Pataky
Elsa Pataky,José Francisco Lafuente,father,,False,False,
Carla Gugino,Carol Gugino,mother,,False,False,
Carla Gugino,Carl Gugino,father,,False,False,
Sofia Boutella,Architect Safy Boutella,mother,Sofia Boutella,True,True,Sofia Boutella
Sofia Boutella,Safia Boutella,father,,False,True,Sofia Boutella
Lily James,Nina James,mother,,False,False,
Lily James,Jamie Thomson,father,,False,False,
Raegan Revord,Holly Revord,mother,,False,False,JoJo Siwa
Mackenzie Davis,Lotte Davis,mother,,False,False,Geena Davis
Mackenzie Davis,John Davis,father,,False,False,
Linda Cardellini,Lorraine Cardellini,mother,Linda Cardellini,True,True,Linda Cardellini
Linda Cardellini,Wayne David Cardellini,father,Linda Cardellini,True,True,Linda Cardellini
Bruce Willis,Marlene Willis,mother,Bruce Willis,True,True,Bruce Willis
Bruce Willis,David Willis,father,,False,True,Bruce Willis
Danna Paola,Patricia Munguia,mother,,False,False,
Danna Paola,Juan José Rivera Arellano,father,,False,True,Danna Paola
Melissa McCarthy,Sandra McCarthy,mother,,False,True,Melissa McCarthy
Melissa McCarthy,Michael McCarthy,father,,False,False,Jenny McCarthy
Amy Adams,Kathryn Adams,mother,Amy Adams,True,False,Jessica Lange
Amy Adams,Richard Kent Adams,father,,False,True,Amy Adams
Chris Evans,Lisa Evans,mother,,False,False,Luke Evans
Chris Evans,Bob Evans,father,,False,True,Chris Evans
Taron Egerton,Christine Egerton,mother,,False,False,
Rachel McAdams,Sandra McAdams,mother,,False,True,Rachel McAdams
Rachel McAdams,Lance McAdams,father,,False,True,Rachel McAdams
Rick Hoffman,Gail Hoffman,mother,,False,False,Dustin Hoffman
Rick Hoffman,Charlie Hoffman,father,,False,False,Dustin Hoffman
Sofia Coppola,Eleanor Coppola,mother,Sofia Coppola,True,True,Sofia Coppola
Sofia Coppola,Francis Ford Coppola,father,Sofia Coppola,True,True,Sofia Coppola
Anne Hathaway,Kate McCauley Hathaway,mother,Anne Hathaway,True,True,Anne Hathaway
Anne Hathaway,Gerald Hathaway,father,Anne Hathaway,True,True,Anne Hathaway
Sam Heughan,Chrissie Heughan,mother,Sam Heughan,True,True,Sam Heughan
Al Pacino,Rose Gerard Pacino,mother,Al Pacino,True,True,Al Pacino
Al Pacino,Salvatore Pacino,father,Al Pacino,True,True,Al Pacino
Jackie Sandler,Judy Sandler,mother,,False,False,Adam Sandler
Jackie Sandler,Joseph Titone,father,,False,False,Adam Sandler
Sienna Guillory,Isa Guillory,mother,,False,False,Solange Knowles
Sienna Guillory,Isaac Guillory,father,,False,False,Rory Guillory
Mía Maestro,Carlos Maestro,father,,False,False,
Paul Dano,Gladys Dano,mother,,False,True,Paul Dano
Paul Dano,Paul Dano Sr.,father,Paul Dano,True,True,Paul Dano
Minka Kelly,Maureen Dumont Kelly,mother,,False,True,Minka Kelly
Minka Kelly,Rick Dufay,father,Minka Kelly,True,False,Liv Tyler
Michelle Pfeiffer,Donna Pfeiffer,mother,,False,True,Michelle Pfeiffer
Michelle Pfeiffer,Richard Pfeiffer,father,,False,True,Michelle Pfeiffer
Ben Barnes,Tricia Barnes,mother,,False,False,
Ben Barnes,Thomas Barnes,father,,False,True,Ben Barnes
Sam Claflin,Sue Claflin,mother,,False,True,Sam Claflin
Sam Claflin,Mark Claflin,father,,False,True,Sam Claflin
Jim Caviezel,Maggie Caviezel,mother,,False,True,Jim Caviezel
Jim Caviezel,James Caviezel Sr.,father,Jim Caviezel,True,True,Jim Caviezel
Iliza Shlesinger,Ellen Shlesinger,mother,,False,True,Iliza Shlesinger
Iliza Shlesinger,Fred Shlesinger,father,,False,False,
Tracy Pollan,Corky Pollan,mother,,False,False,Michael J. Fox
Tracy Pollan,Stephen M. Pollan,father,Tracy Pollan,True,True,Tracy Pollan
Daniel Kaluuya,Damalie Namusoke,mother,,False,False,Lupita Nyong'o
Bradley Cooper,Gloria Campano,mother,Bradley Cooper,True,True,Bradley Cooper
Bradley Cooper,Charles Cooper,father,Bradley Cooper,True,True,Bradley Cooper
Adrianne Palicki,Nancy Palicki,mother,Adrianne Palicki,True,True,Adrianne Palicki
Adrianne Palicki,Jeffrey Palicki,father,,False,True,Adrianne Palicki
Katheryn Winnick,Roman Winnick,mother,,False,False,
Katheryn Winnick,Roman Winnick,father,,False,False,
Jensen Ackles,Donna Joan Shaffer-Ackles,mother,Jensen Ackles,True,True,Jensen Ackles
Jensen Ackles,Alan Roger Ackles,father,Jensen Ackles,True,True,Jensen Ackles
Steve Zahn,Carleton Edward Zahn,mother,,False,False,
Steve Zahn,Carleton Edward Zahn,father,,False,False,Jonathan Zahn
Amber Heard,Paige Parsons,mother,,False,False,Conor Oberst
Amber Heard,David Heard,father,Amber Heard,True,True,Amber Heard
Luke Macfarlane,Penny Macfarlane,mother,,False,False,Seth MacFarlane
Luke Macfarlane,Thomas Macfarlane,father,,False,False,Seth MacFarlane
Rashida Jones,Peggy Lipton,mother,Rashida Jones,True,True,Rashida Jones
Rashida Jones,Quincy Jones,father,Rashida Jones,True,True,Rashida Jones
Alicia Vikander,Maria Fahl Vikander,mother,Alicia Vikander,True,True,Alicia Vikander
Alicia Vikander,Svante Vikander,father,Alicia Vikander,True,True,Alicia Vikander
Alexandra Billings,Gail Billings,mother,,False,False,
Sandra Bullock,Helga Mathilde Meyer,mother,Sandra Bullock,True,True,Sandra Bullock
Sandra Bullock,John W. Bullock,father,Sandra Bullock,True,True,Sandra Bullock
Abbey Lee,Peter Kershaw,father,,False,False,
Christa Miller,Bonnie Trompeter,mother,,False,False,Adam Sandler
Christa Miller,Chuck Miller,father,,False,False,Bode Miller
Lukas Haas,Emily Tracy,mother,,False,False,Zac Efron
Lukas Haas,Berthold Haas,father,,False,False,Nina Haas
Javier Bardem,Pilar Bardem,mother,Javier Bardem,True,True,Javier Bardem
Javier Bardem,Carlos Encinas Bardem,father,,False,True,Javier Bardem
Sasha Lane,Judith Lane,mother,,False,False,Michael Bublé
Rupert Friend,Caroline Friend,mother,,False,False,Courteney Cox
Rupert Friend,David Oxton Friend,father,,False,False,
Ashley Johnson,Nancy Johnson,mother,,False,False,Dakota Johnson
Ashley Johnson,Cliff Johnson,father,,False,False,Dakota Johnson
Priyanka Chopra Jonas,Madhu Chopra,mother,Priyanka Chopra Jonas,True,True,Priyanka Chopra Jonas
Priyanka Chopra Jonas,Ashok Chopra,father,,False,True,Priyanka Chopra Jonas
Blake Lively,Elaine Lively,mother,Blake Lively,True,True,Blake Lively
Blake Lively,Ernie Lively,father,Blake Lively,True,True,Blake Lively
Vanessa Ray,Valerie Liptak,mother,,False,False,
Vanessa Ray,James Lipton,father,,False,False,
Emma Watson,Jacqueline Luesby,mother,Emma Watson,True,True,Emma Watson
Emma Watson,Chris Watson,father,,False,True,Emma Watson
Karl Urban,Joyce Urban,mother,,False,False,
Karl Urban,Jurgen Urban,father,,False,False,
Josh Lucas,Michele LeFevre,mother,,False,False,Brie Larson
Josh Lucas,Don Maurer,father,,False,False,
Angelina Jolie,Marcheline Bertrand,mother,Angelina Jolie,True,True,Angelina Jolie
Angelina Jolie,Jon Voight,father,Angelina Jolie,True,True,Angelina Jolie
Carolina Miranda,Martha Carrillo,mother,,False,False,
Joey King,Terry King,mother,,False,False,Larry King
Joey King,Terry King,father,,False,False,Regina King
Gillian Jacobs,Marta Jacobs,mother,,False,False,
Gillian Jacobs,William F. Jacobs Jr.,father,,False,True,Gillian Jacobs
Andrea Riseborough,Isobel Riseborough,mother,,False,True,Andrea Riseborough
Andrea Riseborough,George Riseborough,father,,False,False,
Clancy Brown,Joyce Helen Eldridge,mother,,False,False,P. Diddy
Clancy Brown,Bud Brown,father,,False,False,
Jennifer Love Hewitt,Patricia Mae Hewitt,mother,Jennifer Love Hewitt,True,True,Jennifer Love Hewitt
Jennifer Love Hewitt,Herbert Daniel Hewitt,father,,False,True,Jennifer Love Hewitt
Luna Lauren Velez,Andrés Vélez,father,,False,False,
Charlie Day,Mary Day,mother,,False,False,Lea Michele
Charlie Day,Dr. Thomas Charles Day,father,,False,True,Charlie Day
Dakota Fanning,Heather Joy Arrington,mother,,False,False,Lily Collins
Dakota Fanning,Steven Fanning,father,Dakota Fanning,True,False,Elle Fanning
Alexander Ludwig,Sharlene Martin,mother,,False,False,Shawn Mendes
Alexander Ludwig,Harald Ludwig,father,,False,False,Taylor Swift
Ariana Greenblatt,Sol Greenblatt,mother,,False,False,
Ariana Greenblatt,Shon Greenblatt,father,,False,False,
Liam Neeson,Bernard Neeson,father,Liam Neeson,True,True,Liam Neeson
Jennifer Aniston,Nancy Dow,mother,Jennifer Aniston,True,True,Jennifer Aniston
Jennifer Aniston,John Aniston,father,Jennifer Aniston,True,True,Jennifer Aniston
Donnie Yen,Bow-sim Mark,mother,Donnie Yen,True,True,Donnie Yen
Donnie Yen,Klyster Yen,father,,False,True,Donnie Yen
Greta Gerwig,Christine Gerwig,mother,Greta Gerwig,True,True,Greta Gerwig
Greta Gerwig,Gordon Gerwig,father,Greta Gerwig,True,False,
Michael J. Fox,Phyllis Piper,mother,,False,False,
Michael J. Fox,William Fox,father,,False,False,Emilia Fox
Jon Bernthal,Joan Lurie Bernthal,mother,Jon Bernthal,True,True,Jon Bernthal
Jon Bernthal,Eric Bernthal,father,Jon Bernthal,True,True,Jon Bernthal
Jack Quaid,Meg Ryan,mother,Jack Quaid,True,True,Jack Quaid
Jack Quaid,Dennis Quaid,father,Jack Quaid,True,True,Jack Quaid
Pete Davidson,Amy Waters Davidson,mother,Pete Davidson,True,True,Pete Davidson
Pete Davidson,Scott Davidson,father,Pete Davidson,True,True,Pete Davidson
Will Smith,Caroline Bright,mother,,False,False,Keegan-Michael Key
Will Smith,Willard Carroll Smith Sr.,father,Will Smith,True,True,Will Smith
Léa Seydoux,Valérie Schlumberger,mother,Léa Seydoux,True,True,Léa Seydoux
Léa Seydoux,Henri Seydoux,father,Léa Seydoux,True,True,Léa Seydoux
Zachary Levi,Susan Pugh,mother,,False,False,Dakota Johnson
Zachary Levi,Darrell Pugh,father,,False,False,Kellie Pickler
Val Kilmer,Gladys Swanette Ekstadt,mother,,False,False,Kirsten Dunst
Val Kilmer,Eugene Kilmer,father,,False,True,Val Kilmer
Olivia Wilde,Leslie Cockburn,mother,Olivia Wilde,True,True,Olivia Wilde
Olivia Wilde,Andrew Cockburn,father,Olivia Wilde,True,True,Olivia Wilde
Meagan Good,Tyra Wardlow-Doyle,mother,,False,False,Tyra Banks
Eliza Dushku,Judith Rasmussen,mother,,False,False,Stephen Curry
Eliza Dushku,Philip R. Dushku,father,Eliza Dushku,True,True,Eliza Dushku
Rachel Weisz,Edith Ruth Weisz,mother,,False,True,Rachel Weisz
Rachel Weisz,George Weisz,father,Rachel Weisz,True,True,Rachel Weisz
Joaquin Phoenix,Arlyn Phoenix,mother,Joaquin Phoenix,True,True,Joaquin Phoenix
Joaquin Phoenix,John Lee Bottom,father,Joaquin Phoenix,True,True,Joaquin Phoenix
Charlie Hunnam,Jane Bell,mother,,False,False,Naomi Watts
Charlie Hunnam,William Hunnam,father,Charlie Hunnam,True,True,Charlie Hunnam
Sigourney Weaver,Elizabeth Inglis,mother,Sigourney Weaver,True,True,Sigourney Weaver
Sigourney Weaver,Sylvester L. Weaver Jr.,father,Sigourney Weaver,True,True,Sigourney Weaver
Seth Rogen,Sandy Rogen,mother,Seth Rogen,True,True,Seth Rogen
Seth Rogen,Mark Rogen,father,,False,True,Seth Rogen
Elle Fanning,Heather Joy Arrington,mother,,False,False,Lily Collins
Elle Fanning,Steven Fanning,father,,False,True,Elle Fanning
Jon Hamm,Deborah Hamm,mother,,False,False,
Jon Hamm,Daniel Hamm,father,,False,False,
David Tennant,Helen McLeod,mother,,False,False,Rachel McAdams
David Tennant,Sandy McDonald,father,,False,True,David Tennant
Maisie Williams,Hilary Williams,mother,,False,False,Hayley Williams
Maisie Williams,Hilary Francis Williams,father,,False,False,Hank Williams Jr.
Christina Ricci,Sarah Ricci,mother,,False,True,Christina Ricci
Christina Ricci,Ralph Ricci,father,,False,True,Christina Ricci
Lily Rabe,Jill Clayburgh,mother,Lily Rabe,True,True,Lily Rabe
Lily Rabe,David Rabe,father,Lily Rabe,True,True,Lily Rabe
Kate Beckinsale,Judy Loe,mother,Kate Beckinsale,True,True,Kate Beckinsale
Kate Beckinsale,Richard Beckinsale,father,Kate Beckinsale,True,True,Kate Beckinsale
Tia Carrere,Audrey Duhinio Janairo,mother,,False,True,Tia Carrere
Tia Carrere,Alexander Janairo,father,,False,True,Tia Carrere
Abigail Breslin,Kim Breslin,mother,Abigail Breslin,True,True,Abigail Breslin
Abigail Breslin,Michael Breslin,father,Abigail Breslin,True,True,Abigail Breslin
Natalie Morales,Penelope Morales,mother,,False,False,
Natalie Morales,"Lieutenant Colonel Mario Morales, Jr.",father,,False,False,Rita Morales
Jodie Whittaker,Adrian Whittaker,father,,False,False,
Laura Linney,Miriam Anderson Linney,mother,Laura Linney,True,True,Laura Linney
Laura Linney,Romulus Linney,father,Laura Linney,True,True,Laura Linney
Odessa A’zion,Pamela Adlon,mother,,False,False,Gideon Adlon
Odessa A’zion,Pamela Adlon,father,,False,False,
Pier Angeli,Enrichetta Romiti,mother,,False,False,Giorgio Armani
Pier Angeli,Enrico Angeli,father,,False,False,
Michael Biehn,Marcia Biehn,mother,,False,True,Michael Biehn
Michael Biehn,Don Biehn,father,,False,True,Michael Biehn
Sarah Shahi,Mah Monir Soroush Azar,mother,,False,False,Hooman Khalatbari
Sarah Shahi,Abbas Jahansouz Shahi,father,,False,True,Sarah Shahi
Sean Patrick Flanery,Genie Flanery,mother,,False,False,Shannen Doherty
Sean Patrick Flanery,Paul Flanery,father,,False,True,Sean Patrick Flanery
Kaitlyn Dever,Kathy Dever,mother,,False,True,Kaitlyn Dever
Kaitlyn Dever,Tim Dever,father,,False,False,
Bruce Campbell,Joanne Louise Campbell,mother,,False,False,Naomi Campbell
Bruce Campbell,Charles Newton Campbell,father,,False,False,Glen Campbell
Jason Isaacs,Sheila Isaacs,mother,,False,False,Rachel Brosnahan
Jason Isaacs,Eric Isaacs,father,,False,False,
Robin Williams,Laurie Williams,mother,,False,False,Allison Williams
Robin Williams,Robert Fitzgerald Williams,father,,False,True,Robin Williams
Lena Headey,Sue Headey,mother,,False,True,Lena Headey
Lena Headey,John Headey,father,Lena Headey,True,True,Lena Headey
Jay Baruchel,Robyne Baruchel,mother,Jay Baruchel,True,True,Jay Baruchel
Jay Baruchel,Serge Baruchel,father,Jay Baruchel,True,True,Jay Baruchel
Brittany Snow,Cinda Snow,mother,,False,True,Brittany Snow
Brittany Snow,John Snow,father,,False,False,
Luna Blaise,Angelyna Martinez,mother,,False,False,Justice Smith
Luna Blaise,Paul Boyd,father,,False,False,Brandon Boyd
Jacob Elordi,Melissa Elordi,mother,Jacob Elordi,True,True,Jacob Elordi
Jacob Elordi,John Elordi,father,,False,True,Jacob Elordi
Bailee Madison,Patricia Riley,mother,,False,False,Meg Ryan
Bailee Madison,Michael Shawn Riley,father,,False,False,
Adam Driver,Nancy Wright,mother,,False,False,Bonnie Wright
Adam Driver,Joe Douglas Driver,father,,False,True,Adam Driver
Alison Brie,Joanne Brenner,mother,,False,False,
Alison Brie,Charles Schermerhorn,father,,False,False,Anderson Cooper
Toby Kebbell,Michelle Mathers,mother,,False,False,Eminem
Toby Kebbell,Robert Kebbell,father,,False,True,Toby Kebbell
Will Arnett,Edith Alexandra Palk,mother,,False,False,Rachel Weisz
Will Arnett,Emerson James Arnett,father,,False,False,
Tessa Thompson,Marc Anthony Thompson,mother,Tessa Thompson,True,False,Zoë Kravitz
Tessa Thompson,Marc Anthony Thompson,father,Tessa Thompson,True,True,Tessa Thompson
Jamie Dornan,Lorna Dornan,mother,Jamie Dornan,True,True,Jamie Dornan
Jamie Dornan,Jim Dornan,father,Jamie Dornan,True,True,Jamie Dornan
Stephen Lang,Theresa Volmer,mother,,False,False,
Stephen Lang,Eugene Lang,father,,False,False,
James Spader,Jean Fraser Spader,mother,James Spader,True,True,James Spader
James Spader,Stoddard Greenwood Spader,father,James Spader,True,True,James Spader
Nicholas Braun,Elizabeth Lyle Braun,mother,,False,False,Chris Pratt
Nicholas Braun,Craig Braun,father,,False,False,
Hugh Jackman,Grace McNeil,mother,,False,False,
Hugh Jackman,Christopher John Jackman,father,,False,True,Hugh Jackman
Daniel Day-Lewis,Jill Balcon,mother,Daniel Day-Lewis,True,True,Daniel Day-Lewis
Daniel Day-Lewis,Cecil Day-Lewis,father,Daniel Day-Lewis,True,True,Daniel Day-Lewis
Keira Knightley,Sharman Macdonald,mother,Keira Knightley,True,True,Keira Knightley
Keira Knightley,Will Knightley,father,Keira Knightley,True,True,Keira Knightley
Kristen Bell,Lorelei Bell,mother,,False,False,Sherri Moon Zombie
Kristen Bell,Tom Bell,father,,False,True,Kristen Bell
Jim Carrey,Kathleen Carrey,mother,Jim Carrey,True,True,Jim Carrey
Jim Carrey,Percy Carrey,father,Jim Carrey,True,True,Jim Carrey
Gary Oldman,Kathleen Oldman,mother,Gary Oldman,True,False,Gael Oldman
Gary Oldman,Leonard Bertram Oldman,father,Gary Oldman,True,True,Gary Oldman
Jodie Comer,Donna Comer,mother,,False,False,
Jodie Comer,Don Comer,father,,False,False,Cole Sprouse
Carrie Preston,Linda Barbara Preston,mother,,False,False,Tori Spelling
Mariette Hartley,Polly Cornwell,mother,,False,False,Archie Panjabi
Mariette Hartley,Paul Hembree Hartley,father,,False,False,
Stephen Dorff,Nancy Dorff,mother,,False,True,Stephen Dorff
Stephen Dorff,Steve Dorff,father,Stephen Dorff,True,True,Stephen Dorff
Ralph Fiennes,Jennifer Lash,mother,Ralph Fiennes,True,True,Ralph Fiennes
Ralph Fiennes,Mark Fiennes,father,Ralph Fiennes,True,True,Ralph Fiennes
Sean Connery,Joseph Connery,father,Sean Connery,True,True,Sean Connery
Alice Eve,Sharon Maughan,mother,Alice Eve,True,True,Alice Eve
Alice Eve,Trevor Eve,father,Alice Eve,True,True,Alice Eve
Sam Elliott,Glynn Mamie Sparks,mother,,False,False,
Sam Elliott,Henry Nelson Elliott,father,,False,False,Missy Elliott
Kirsten Dunst,Inez Rupprecht,mother,,False,False,Christie Brinkley
Kirsten Dunst,Klaus Dunst,father,,False,True,Kirsten Dunst
Sasha Alexander,Sofija Kukavica,mother,,False,False,Novak Djokovic
Sasha Alexander,Slobodan Drobnjak,father,,False,False,Peja Stojaković
Liana Liberato,Rhondelle Liberato,mother,,False,False,
Liana Liberato,George Liberato,father,,False,False,
Jennette McCurdy,Debra McCurdy,mother,Jennette McCurdy,True,True,Jennette McCurdy
Jennette McCurdy,Mark McCurdy,father,,False,False,
Harold Perrineau,Sylvia Perrineau,mother,Harold Perrineau,True,True,Harold Perrineau
Harold Perrineau,Harold Williams,father,,False,False,Pharrell Williams
Katy Mixon,Donna Mixon,mother,,False,True,Katy Mixon
Katy Mixon,Fred Mixon,father,,False,False,
Jessica Chastain,Jerri Chastain,mother,Jessica Chastain,True,True,Jessica Chastain
Jessica Chastain,Michael Monasterio,father,,False,False,Lana Del Rey
Luke Grimes,Angie Barker,mother,,False,False,Travis Barker
Luke Grimes,Randy Grimes,father,,False,False,
Bryan Cranston,Audrey Peggy Sell,mother,,False,False,
Bryan Cranston,Joe Cranston,father,Bryan Cranston,True,True,Bryan Cranston
Robert Pattinson,Clare Pattinson,mother,Robert Pattinson,True,True,Robert Pattinson
Robert Pattinson,Richard Pattinson,father,Robert Pattinson,True,True,Robert Pattinson
Skyler Gisondo,Stacey Gisondo,mother,,False,True,Skyler Gisondo
Skyler Gisondo,Stu Gisondo,father,,False,True,Skyler Gisondo
Elizabeth Debicki,Piotr Debicki,father,Elizabeth Debicki,True,True,Elizabeth Debicki
Ke Huy Quan,Quan Y Huy,father,,False,False,
Emma Heming Willis,Zorina Heming,mother,,False,False,
Sophie Thatcher,Robert Thatcher,father,,False,False,Margaret Thatcher
Zoe Perry,Laurie Metcalf,mother,Zoe Perry,True,True,Zoe Perry
Zoe Perry,Jeff Perry,father,Zoe Perry,True,True,Zoe Perry
Kate Capshaw,Beverly Sue Simon,mother,,False,False,Tracee Ellis Ross
Kate Capshaw,Edwin Leon Nail,father,,False,False,Tim McGraw
Kelly Preston,Linda Carlson,mother,,False,False,Kirsten Dunst
Kelly Preston,Peter Palzis,father,,False,False,Pierce Brosnan
Nathan Fillion,Cookie Fillion,mother,,False,True,Nathan Fillion
Nathan Fillion,Bob Fillion,father,,False,True,Nathan Fillion
Marisa Tomei,Addie Tomei,mother,Marisa Tomei,True,True,Marisa Tomei
Marisa Tomei,Gary A. Tomei,father,Marisa Tomei,True,True,Marisa Tomei
Olivia Cooke,Lindsy Wild,mother,,False,False,
Olivia Cooke,John Cooke,father,,False,False,
Bridget Regan,Mary Catherine Regan,mother,,False,False,
Bridget Regan,Jim Regan,father,,False,False,
Hope Davis,Joan Davis,mother,,False,False,Bette Midler
Hope Davis,William Davis,father,,False,False,Geena Davis
Gemma Arterton,Sally-Anne Heap,mother,,False,False,Ed Sheeran
Gemma Arterton,Barry Arterton,father,Gemma Arterton,True,True,Gemma Arterton
Mads Mikkelsen,Bente Christiansen,mother,,False,False,Renée Zellweger
Mads Mikkelsen,Henning Mikkelsen,father,,False,False,Viggo Mortensen
Yvonne Strahovski,Bozena Strahovski,mother,Yvonne Strahovski,True,True,Yvonne Strahovski
Yvonne Strahovski,Peter Strzechowski,father,Yvonne Strahovski,True,True,Yvonne Strahovski
Lance Reddick,Doris Reddick,mother,,False,False,
Anna Kendrick,Janice Kendrick,mother,,False,True,Anna Kendrick
Anna Kendrick,William Kendrick,father,,False,True,Anna Kendrick
